name,position,now_cost,predicted_rating
Pierre-Emerick Aubameyang,FWD,96,42
Alexandre Lacazette,FWD,81,89
Edward Nketiah,FWD,57,50
Folarin Balogun,FWD,47,0
Mika Biereth,FWD,45,0
Ollie Watkins,FWD,75,130
Wesley Moraes,FWD,54,0
Mbwana Ally Samatta,FWD,55,0
Keinan Davis,FWD,45,0
Danny Ings,FWD,77,98
Cameron Archer,FWD,45,1
Ivan Toney,FWD,69,141
Marcus Forss,FWD,53,7
Halil Dervişoğlu,FWD,54,0
Nathan Young-Coombes,FWD,45,0
Neal Maupay,FWD,62,95
Aaron Connolly,FWD,53,4
Danny Welbeck,FWD,60,82
Florin Andone,FWD,50,0
Andi Zeqiri,FWD,45,0
Jürgen Locadia,FWD,44,0
Evan Ferguson,FWD,45,0
Jay Rodriguez,FWD,51,50
Ashley Barnes,FWD,52,24
Matej Vydra,FWD,52,41
Lewis Richardson,FWD,44,0
Wout Weghorst,FWD,62,44
Joseph McGlynn,FWD,45,0
Olivier Giroud,FWD,65,0
Michy Batshuayi,FWD,55,0
Timo Werner,FWD,85,54
Tammy Abraham,FWD,65,0
Romelu Lukaku,FWD,114,94
Christian Benteke,FWD,59,53
Jordan Ayew,FWD,58,78
Jean-Philippe Mateta,FWD,53,54
Robert Street,FWD,45,0
Odsonne Edouard,FWD,60,87
Dominic Calvert-Lewin,FWD,77,59
Richarlison de Andrade,FWD,76,127
Nathan Broadhead,FWD,45,0
Moise Kean,FWD,60,0
Salomón Rondón,FWD,60,28
Ellis Simms,FWD,45,1
Lewis Dobbin,FWD,45,1
Cenk Tosun,FWD,50,0
Jamie Vardy,FWD,103,124
Kelechi Iheanacho,FWD,70,72
Patson Daka,FWD,70,64
Rodrigo Moreno,FWD,63,89
Patrick Bamford,FWD,77,27
Sam Greenwood,FWD,46,8
Joe Gelhardt,FWD,47,40
Roberto Firmino,FWD,87,68
Divock Origi,FWD,48,19
Gabriel Fernando de Jesus,FWD,86,126
Kayky da Silva Chagas,FWD,50,0
Liam Delap,FWD,45,0
Edinson Cavani,FWD,84,31
Anthony Martial,FWD,76,8
Cristiano Ronaldo dos Santos Aveiro,FWD,122,171
Chris Wood,FWD,63,86
Callum Wilson,FWD,71,72
Dwight Gayle,FWD,52,6
Allan Saint-Maximin,FWD,67,120
Joelinton Cássio Apolinário de Lira,FWD,59,93
Teemu Pukki,FWD,61,118
Jordan Hugill,FWD,54,0
Adam Idah,FWD,48,31
Joshua Sargent,FWD,54,53
Thomas Dickson-Peters,FWD,45,0
Abu Kamara,FWD,45,0
Daniel N'Lundulu,FWD,45,0
Che Adams,FWD,65,96
Michael Obafemi,FWD,45,0
Armando Broja,FWD,53,87
Shane Long,FWD,54,14
Adam Armstrong,FWD,57,46
Harry Kane,FWD,125,194
Dane Scarlett,FWD,45,0
Troy Deeney,FWD,54,1
Andre Gray,FWD,54,0
Stipe Perica,FWD,45,0
Isaac Success Ajayi,FWD,50,0
Ashley Fletcher,FWD,48,1
João Pedro Junqueira de Jesus,FWD,54,58
Emmanuel Dennis,FWD,58,133
Joshua King,FWD,56,86
Adedapo Awokoya-Mebude,FWD,45,0
Juan Camilo Hernández Suárez,FWD,49,67
Shaqai Forde,FWD,45,0
Tiago Çukur,FWD,45,0
Jack Grieves,FWD,45,0
Michail Antonio,FWD,73,138
Raúl Jiménez,FWD,75,100
Fabio Silva,FWD,56,19
Patrick Cutrone,FWD,50,0
Hee-Chan Hwang,FWD,54,77
Willian Borges Da Silva,MID,63,0
Granit Xhaka,MID,48,70
Mohamed Naser El Sayed Elneny,MID,44,30
Ainsley Maitland-Niles,MID,52,10
Thomas Partey,MID,50,72
Nicolas Pépé,MID,69,43
Lucas Torreira,MID,45,0
Emile Smith Rowe,MID,57,122
Bukayo Saka,MID,67,175
Mattéo Guendouzi,MID,45,0
Gabriel Teodoro Martinelli Silva,MID,53,105
Albert Sambi Lokonga,MID,48,33
Reiss Nelson,MID,50,0
Martin Ødegaard,MID,56,138
Charlie Patino,MID,45,0
Omari Hutchinson,MID,45,0
Salah-Eddine Oulad M'hand,MID,45,0
Marcelo Flores,MID,45,0
Miguel Azeez,MID,45,0
Conor Hourihane,MID,49,0
Bertrand Traoré,MID,57,12
Morgan Sanson,MID,50,11
John McGinn,MID,56,112
Mahmoud Ahmed Ibrahim Hassan,MID,54,0
Marvelous Nakamba,MID,44,22
Emiliano Buendía Stati,MID,61,106
Douglas Luiz Soares de Paulo,MID,43,90
Jacob Ramsey,MID,47,104
Leon Bailey,MID,63,36
Aaron Ramsey,MID,44,0
Jaden Philogene-Bidace,MID,50,0
Carney Chukwuemeka,MID,45,13
Tim Iroegbunam,MID,45,4
Philippe Coutinho Correia,MID,71,79
Benjamin Chrisene,MID,45,0
Tommi O'Reilly,MID,45,0
Christian Nørgaard,MID,50,108
Tariqe Fosu-Henry,MID,51,0
Sergi Canós,MID,55,78
Pelenda Joshua Dasilva,MID,53,7
Vitaly Janelt,MID,49,87
Saman Ghoddos,MID,52,30
Mathias Jensen,MID,49,51
Jan Zamburek,MID,44,0
Bryan Mbeumo,MID,52,116
Mads Bidstrup,MID,44,3
Frank Onyeka,MID,49,29
Shandon Baptiste,MID,49,30
Yoane Wissa,MID,57,82
Paris Maghoma,MID,45,0
Maxwell Haygarth,MID,45,0
Myles Peart-Harris,MID,45,0
Christian Eriksen,MID,56,46
Adam Lallana,MID,53,43
Pascal Groß,MID,56,94
Davy Pröpper,MID,45,0
Solomon March,MID,53,55
Leandro Trossard,MID,59,142
Alireza Jahanbakhsh,MID,55,0
Yves Bissouma,MID,44,64
Steven Alzate,MID,48,15
Alexis Mac Allister,MID,51,96
Jakub Moder,MID,45,54
Enock Mwepu,MID,59,48
Taylor Richards,MID,45,0
Moisés Caicedo,MID,45,27
Jeremy Sarmiento,MID,45,4
Marc Leonard,MID,45,0
Jack Cork,MID,44,30
Dale Stephens,MID,44,4
Ashley Westwood,MID,52,58
Johann Berg Gudmundsson,MID,54,29
Josh Brownhill,MID,43,91
Josh Benson,MID,45,0
Dwight McNeil,MID,55,93
Aaron Lennon,MID,46,48
Maxwel Cornet,MID,58,86
Dara Costelloe,MID,45,0
Anthony Mancini,MID,45,0
Jorge Luiz Frello Filho,MID,57,105
Ross Barkley,MID,52,12
Mateo Kovacic,MID,49,72
N'Golo Kanté,MID,49,76
Hakim Ziyech,MID,73,80
Ruben Loftus-Cheek,MID,54,51
Christian Pulisic,MID,79,73
Mason Mount,MID,77,164
Callum Hudson-Odoi,MID,53,46
Kai Havertz,MID,79,108
Saúl Ñíguez,MID,49,13
Lewis Hall,MID,45,0
Harvey Vale,MID,45,0
Conor Gallagher,MID,60,138
James McArthur,MID,43,54
Luka Milivojevic,MID,52,19
Wilfried Zaha,MID,69,149
Jeffrey Schlupp,MID,54,83
Jairo Riedewald,MID,47,4
Eberechi Eze,MID,59,31
Will Hughes,MID,47,30
Michael Olise,MID,53,64
Jesurun Rak-Sakyi,MID,44,3
Scott Banks,MID,45,0
Anwar El Ghazi,MID,56,18
Fabian Delph,MID,42,19
Gylfi Sigurdsson,MID,67,0
James Rodríguez,MID,69,0
Bernard Anício Caldeira Duarte,MID,55,0
Allan Marques Loureiro,MID,43,57
André Filipe Tavares Gomes,MID,49,17
Abdoulaye Doucouré,MID,53,88
Alex Iwobi,MID,58,76
Tom Davies,MID,48,13
Donny van de Beek,MID,57,28
Bamidele Alli,MID,62,31
Andros Townsend,MID,52,66
Demarai Gray,MID,54,109
Anthony Gordon,MID,47,101
Jean-Philippe Gbamin,MID,44,3
Charlie Whitaker,MID,45,0
Tyler Onyango,MID,45,3
Isaac Price,MID,45,-1
Marc Albrighton,MID,52,34
Nampalys Mendy,MID,43,24
Dennis Praet,MID,49,0
Youri Tielemans,MID,64,120
Ayoze Pérez,MID,57,32
James Maddison,MID,69,155
Hamza Choudhury,MID,44,9
Harvey Barnes,MID,65,134
Wilfred Ndidi,MID,48,47
Boubakary Soumaré,MID,48,30
Kiernan Dewsbury-Hall,MID,44,72
Ademola Lookman,MID,59,82
Lewis Brunt,MID,45,0
Kasey McAteer,MID,45,0
Pablo Hernández Domínguez,MID,55,0
Mateusz Klich,MID,51,66
Stuart Dallas,MID,49,83
Kalvin Phillips,MID,47,38
Hélder Wander Sousa de Azevedo e Costa,MID,54,0
Tyler Roberts,MID,48,36
Ian Carlo Poveda-Ocampo,MID,45,0
Raphael Dias Belloli,MID,63,145
Jamie Shackleton,MID,44,22
Jack Harrison,MID,55,118
Daniel James,MID,60,88
Crysencio Summerville,MID,45,6
Adam Forshaw,MID,45,37
Liam McCarron,MID,44,0
Nohan Kenneh,MID,44,-1
Stuart McKinstry,MID,43,0
Lewis Bate,MID,45,0
Jack Jenkins,MID,45,0
Archie Gray,MID,45,0
James Milner,MID,49,35
Jordan Henderson,MID,49,105
Thiago Alcántara do Nascimento,MID,53,70
Xherdan Shaqiri,MID,59,0
Alex Oxlade-Chamberlain,MID,58,40
Sadio Mané,MID,118,182
Fabio Henrique Tavares,MID,54,94
Mohamed Salah,MID,131,256
Takumi Minamino,MID,51,25
Naby Keita,MID,50,59
Diogo Jota,MID,83,177
Curtis Jones,MID,50,37
Harvey Elliott,MID,53,16
Ben Woodburn,MID,45,0
Tyler Morton,MID,45,0
Kaide Gordon,MID,45,-1
Luis Díaz,MID,81,62
Jack Grealish,MID,75,97
Ilkay Gündogan,MID,71,123
Kevin De Bruyne,MID,121,198
Riyad Mahrez,MID,86,137
Raheem Sterling,MID,105,161
Bernardo Mota Veiga de Carvalho e Silva,MID,70,151
Phil Foden,MID,79,141
Rodrigo Hernandez,MID,55,126
Ferran Torres,MID,67,23
Fernando Luiz Rosa,MID,47,44
Cole Palmer,MID,45,8
Samuel Edozie,MID,47,0
Tommy Doyle,MID,45,0
Romeo Lavia,MID,44,0
James McAtee,MID,44,0
Nemanja Matic,MID,43,50
Paul Pogba,MID,74,67
Frederico Rodrigues de Paula Santos,MID,49,92
Jesse Lingard,MID,67,27
Bruno Miguel Borges Fernandes,MID,116,176
Marcus Rashford,MID,94,54
Scott McTominay,MID,54,69
Mason Greenwood,MID,71,66
Juan Mata,MID,47,12
Jadon Sancho,MID,89,89
